,lemma,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
2859,siebie,48,0.01218892839004571,38,0.0448642266824085
599,dlaczego,46,0.011681056373793804,39,0.04604486422668241
1660,mamusiuć,46,0.011681056373793804,40,0.047225501770956316
3588,za,46,0.011681056373793804,42,0.049586776859504134
1560,lizak,45,0.01142712036566785,39,0.04604486422668241
3920,że,45,0.01142712036566785,39,0.04604486422668241
3279,u,45,0.01142712036566785,41,0.048406139315230225
668,dużo,44,0.0111731843575419,34,0.04014167650531287
3262,tylko,44,0.0111731843575419,40,0.047225501770956316
2382,poczytać,42,0.010665312341289994,38,0.0448642266824085
2884,siusie,40,0.01015744032503809,37,0.043683589138134596
2179,pan,40,0.01015744032503809,32,0.03778040141676505
2696,płakać,40,0.01015744032503809,38,0.0448642266824085
2468,pomóc,39,0.009903504316912138,35,0.04132231404958678
1491,kąpać,39,0.009903504316912138,34,0.04014167650531287
1104,jeździć,38,0.009649568308786187,35,0.04132231404958678
3082,szybko,38,0.009649568308786187,33,0.03896103896103896
3402,wiedzieć,38,0.009649568308786187,32,0.03778040141676505
3399,widzieć,37,0.009395632300660234,31,0.03659976387249114
903,grać,37,0.009395632300660234,31,0.03659976387249114
1506,lalka,37,0.009395632300660234,30,0.03541912632821724
918,grzeczny,37,0.009395632300660234,30,0.03541912632821724
1177,kanapka,36,0.009141696292534281,32,0.03778040141676505
3468,wrócić,35,0.008887760284408328,33,0.03896103896103896
1814,może,35,0.008887760284408328,24,0.02833530106257379
618,domek,34,0.008633824276282377,29,0.03423848878394333
3921,żeby,34,0.008633824276282377,31,0.03659976387249114
634,dostać,34,0.008633824276282377,29,0.03423848878394333
3737,zjemć,34,0.008633824276282377,31,0.03659976387249114
2321,piłka,34,0.008633824276282377,28,0.03305785123966942
3828,ładny,34,0.008633824276282377,32,0.03778040141676505
1742,mikołaj,34,0.008633824276282377,30,0.03541912632821724
419,chory,33,0.008379888268156424,29,0.03423848878394333
1840,myć,33,0.008379888268156424,30,0.03541912632821724
3324,umyć,33,0.008379888268156424,31,0.03659976387249114
314,brzuszek,33,0.008379888268156424,27,0.031877213695395513
1846,mówić,33,0.008379888268156424,28,0.03305785123966942
2484,poprosić,32,0.008125952260030472,27,0.031877213695395513
3585,xxx,32,0.008125952260030472,26,0.030696576151121605
1438,kto,31,0.00787201625190452,27,0.031877213695395513
3492,wujek,31,0.00787201625190452,29,0.03423848878394333
2012,obiadek,30,0.007618080243778568,27,0.031877213695395513
2433,pokój,30,0.007618080243778568,29,0.03423848878394333
1968,no,30,0.007618080243778568,27,0.031877213695395513
3729,zimno,29,0.007364144235652616,26,0.030696576151121605
2611,przynieść,29,0.007364144235652616,27,0.031877213695395513
1373,kotek,29,0.007364144235652616,26,0.030696576151121605
344,but,29,0.007364144235652616,27,0.031877213695395513
