,lemma_18_20m,liczba_wystapien_18_20m,czestosc_wystapien_18_20m,liczba_dzieci_18_20m,czestosc_dzieci_18_20m,lemma_21_23m,liczba_wystapien_21_23m,czestosc_wystapien_21_23m,liczba_dzieci_21_23m,czestosc_dzieci_21_23m,lemma_24_26m,liczba_wystapien_24_26m,czestosc_wystapien_24_26m,liczba_dzieci_24_26m,czestosc_dzieci_24_26m,lemma_27_29m,liczba_wystapien_27_29m,czestosc_wystapien_27_29m,liczba_dzieci_27_29m,czestosc_dzieci_27_29m,lemma_30_32m,liczba_wystapien_30_32m,czestosc_wystapien_30_32m,liczba_dzieci_30_32m,czestosc_dzieci_30_32m,lemma_33_40m,liczba_wystapien_33_40m,czestosc_wystapien_33_40m,liczba_dzieci_33_40m,czestosc_dzieci_33_40m
12,być,54.0,0.07758620689655173,28.0,0.14285714285714285,chodzić,98.0,0.07668231611893583,61.0,0.23552123552123552,i,131.0,0.06956983536909188,53.0,0.15963855421686746,to,194.0,0.09938524590163934,104.0,0.30678466076696165,to,235.0,0.1024411508282476,129.0,0.3368146214099217,mieć,287,0.10191761363636363,189,0.38336713995943206
13,pić,51.0,0.07327586206896551,42.0,0.21428571428571427,be,81.0,0.06338028169014084,51.0,0.1969111969111969,babcia,128.0,0.06797663303239511,86.0,0.25903614457831325,i,181.0,0.09272540983606557,88.0,0.25958702064896755,tata,233.0,0.1015693112467306,146.0,0.381201044386423,dać,273,0.09694602272727272,186,0.3772819472616633
14,chcieć,46.0,0.06609195402298851,25.0,0.12755102040816327,spać,76.0,0.0594679186228482,55.0,0.21235521235521235,chodzić,120.0,0.06372809346787042,79.0,0.23795180722891565,mamo,137.0,0.0701844262295082,77.0,0.22713864306784662,z,209.0,0.0911072362685266,131.0,0.34203655352480417,w,268,0.09517045454545454,164,0.332657200811359
15,tam,44.0,0.06321839080459771,28.0,0.14285714285714285,na,75.0,0.05868544600938967,43.0,0.16602316602316602,mamo,118.0,0.06266595857673925,60.0,0.18072289156626506,z,129.0,0.06608606557377049,85.0,0.25073746312684364,mamo,185.0,0.08064516129032258,102.0,0.26631853785900783,tata,251,0.08913352272727272,164,0.332657200811359
16,baba,40.0,0.05747126436781609,32.0,0.16326530612244897,pić,71.0,0.05555555555555555,52.0,0.20077220077220076,tu,116.0,0.06160382368560807,56.0,0.1686746987951807,babcia,129.0,0.06608606557377049,91.0,0.26843657817109146,babcia,166.0,0.07236268526591107,121.0,0.31592689295039167,mamo,249,0.08842329545454546,147,0.29817444219066935
17,spać,36.0,0.05172413793103448,32.0,0.16326530612244897,babcia,69.0,0.0539906103286385,46.0,0.1776061776061776,spać,104.0,0.05523101433882103,80.0,0.24096385542168675,chodzić,120.0,0.06147540983606557,77.0,0.22713864306784662,ty,162.0,0.07061900610287707,105.0,0.2741514360313316,babcia,225,0.07990056818181818,160,0.32454361054766734
18,do,35.0,0.05028735632183908,19.0,0.09693877551020408,baba,54.0,0.04225352112676056,38.0,0.14671814671814673,jechać,102.0,0.054168879447689854,69.0,0.20783132530120482,w,114.0,0.0584016393442623,73.0,0.2153392330383481,w,152.0,0.06625980819529206,105.0,0.2741514360313316,ty,214,0.07599431818181818,139,0.281947261663286
19,dziadzie,32.0,0.04597701149425287,22.0,0.11224489795918367,tam,54.0,0.04225352112676056,35.0,0.13513513513513514,pić,98.0,0.05204460966542751,74.0,0.22289156626506024,jechać,113.0,0.057889344262295084,80.0,0.2359882005899705,a,130.0,0.05666957279860506,69.0,0.1801566579634465,a,213,0.07563920454545454,126,0.25557809330628806
20,oć,30.0,0.04310344827586207,13.0,0.0663265306122449,się,49.0,0.03834115805946792,27.0,0.10424710424710425,się,96.0,0.050982474774296335,67.0,0.20180722891566266,ty,110.0,0.05635245901639344,76.0,0.22418879056047197,mój,119.0,0.05187445510026155,80.0,0.20887728459530025,mój,195,0.06924715909090909,137,0.2778904665314402
21,mój,29.0,0.041666666666666664,17.0,0.08673469387755102,gdzie,48.0,0.03755868544600939,28.0,0.10810810810810811,w,92.0,0.048858204992033985,63.0,0.1897590361445783,spać,107.0,0.0548155737704918,82.0,0.24188790560471976,spać,115.0,0.05013077593722755,92.0,0.2402088772845953,przedszkole,172,0.061079545454545456,119,0.2413793103448276
22,na,26.0,0.03735632183908046,15.0,0.07653061224489796,z,46.0,0.03599374021909233,26.0,0.10038610038610038,z,90.0,0.04779607010090282,57.0,0.1716867469879518,pić,99.0,0.0507172131147541,84.0,0.24778761061946902,jechać,111.0,0.04838709677419355,83.0,0.21671018276762402,bo,152,0.05397727272727273,100,0.2028397565922921
23,mamo,26.0,0.03735632183908046,12.0,0.061224489795918366,w,42.0,0.03286384976525822,30.0,0.11583011583011583,tam,81.0,0.043016463090812536,56.0,0.1686746987951807,tu,94.0,0.04815573770491803,63.0,0.18584070796460178,pójść,103.0,0.044899738448125545,70.0,0.18276762402088773,jechać,150,0.053267045454545456,106,0.2150101419878296
24,a,25.0,0.035919540229885055,11.0,0.05612244897959184,mamo,41.0,0.032081377151799685,29.0,0.11196911196911197,gdzie,80.0,0.04248539564524695,53.0,0.15963855421686746,pójść,88.0,0.045081967213114756,57.0,0.168141592920354,chodzić,102.0,0.044463818657367045,71.0,0.185378590078329,już,148,0.052556818181818184,101,0.20486815415821502
25,się,24.0,0.034482758620689655,14.0,0.07142857142857142,mój,40.0,0.03129890453834116,32.0,0.12355212355212356,be,79.0,0.04195432819968136,44.0,0.13253012048192772,gdzie,83.0,0.04252049180327869,52.0,0.15339233038348082,tu,102.0,0.044463818657367045,57.0,0.14882506527415143,móc,147,0.052201704545454544,107,0.21703853955375255
26,mniam,22.0,0.031609195402298854,13.0,0.0663265306122449,brum,40.0,0.03129890453834116,14.0,0.05405405405405406,ty,74.0,0.03929899097185342,51.0,0.1536144578313253,praca,83.0,0.04252049180327869,68.0,0.20058997050147492,kupić,101.0,0.044027898866608545,76.0,0.19843342036553524,pójść,141,0.05007102272727273,105,0.2129817444219067
