,liczba_wystapien_18_20m,czestosc_wystapien_18_20m,liczba_dzieci_18_20m,czestosc_dzieci_18_20m,liczba_wystapien_21_23m,czestosc_wystapien_21_23m,liczba_dzieci_21_23m,czestosc_dzieci_21_23m,liczba_wystapien_24_26m,czestosc_wystapien_24_26m,liczba_dzieci_24_26m,czestosc_dzieci_24_26m,liczba_wystapien_27_29m,czestosc_wystapien_27_29m,liczba_dzieci_27_29m,czestosc_dzieci_27_29m,liczba_wystapien_30_32m,czestosc_wystapien_30_32m,liczba_dzieci_30_32m,czestosc_dzieci_30_32m,liczba_wystapien_33_40m,czestosc_wystapien_33_40m,liczba_dzieci_33_40m,czestosc_dzieci_33_40m
ja,69.0,0.09913793103448276,38.0,0.19387755102040816,146.0,0.11424100156494522,70.0,0.2702702702702703,324.0,0.17206585236325014,145.0,0.4367469879518072,508.0,0.26024590163934425,174.0,0.5132743362831859,758.0,0.3304272013949433,243.0,0.6344647519582245,1171.0,0.4158380681818182,364.0,0.7383367139959433
być,54.0,0.07758620689655173,28.0,0.14285714285714285,134.0,0.10485133020344288,61.0,0.23552123552123552,305.0,0.16197557089750397,131.0,0.39457831325301207,430.0,0.22028688524590165,176.0,0.5191740412979351,570.0,0.24847428073234526,214.0,0.5587467362924282,981.0,0.3483664772727273,342.0,0.6937119675456389
do,35.0,0.05028735632183908,19.0,0.09693877551020408,109.0,0.08528951486697965,58.0,0.22393822393822393,252.0,0.13382899628252787,129.0,0.3885542168674699,342.0,0.17520491803278687,169.0,0.49852507374631266,439.0,0.1913687881429817,218.0,0.5691906005221932,673.0,0.23899147727272727,319.0,0.6470588235294118
nie,88.0,0.12643678160919541,41.0,0.20918367346938777,256.0,0.20031298904538342,106.0,0.4092664092664093,342.0,0.1816250663834307,156.0,0.46987951807228917,385.0,0.19723360655737704,169.0,0.49852507374631266,428.0,0.18657367044463818,202.0,0.5274151436031331,587.0,0.20845170454545456,285.0,0.5780933062880325
chcieć,46.0,0.06609195402298851,25.0,0.12755102040816327,131.0,0.10250391236306729,59.0,0.2277992277992278,208.0,0.11046202867764206,112.0,0.3373493975903614,317.0,0.16239754098360656,152.0,0.44837758112094395,360.0,0.15693112467306017,171.0,0.4464751958224543,576.0,0.20454545454545456,267.0,0.5415821501014199
iść,81.0,0.11637931034482758,53.0,0.27040816326530615,132.0,0.10328638497652583,79.0,0.305019305019305,272.0,0.14445034519383962,150.0,0.45180722891566266,301.0,0.15420081967213115,161.0,0.4749262536873156,354.0,0.15431560592850915,197.0,0.5143603133159269,525.0,0.1864346590909091,278.0,0.563894523326572
na,26.0,0.03735632183908046,15.0,0.07653061224489796,75.0,0.05868544600938967,43.0,0.16602316602316602,154.0,0.08178438661710037,90.0,0.2710843373493976,201.0,0.10297131147540983,114.0,0.336283185840708,300.0,0.13077593722755013,161.0,0.42036553524804177,456.0,0.16193181818181818,252.0,0.5111561866125761
i,8.0,0.011494252873563218,7.0,0.03571428571428571,30.0,0.023474178403755867,22.0,0.08494208494208494,131.0,0.06956983536909188,53.0,0.15963855421686746,181.0,0.09272540983606557,88.0,0.25958702064896755,264.0,0.11508282476024412,117.0,0.30548302872062666,422.0,0.14985795454545456,193.0,0.39148073022312374
się,24.0,0.034482758620689655,14.0,0.07142857142857142,49.0,0.03834115805946792,27.0,0.10424710424710425,96.0,0.050982474774296335,67.0,0.20180722891566266,198.0,0.1014344262295082,110.0,0.32448377581120946,266.0,0.11595466434176112,154.0,0.402088772845953,411.0,0.14595170454545456,231.0,0.4685598377281947
mama,307.0,0.4410919540229885,131.0,0.6683673469387755,367.0,0.2871674491392801,163.0,0.6293436293436293,482.0,0.25597450876261285,213.0,0.641566265060241,484.0,0.24795081967213115,207.0,0.6106194690265486,366.0,0.15954664341761116,180.0,0.4699738903394256,402.0,0.14275568181818182,214.0,0.4340770791075051
to,60.0,0.08620689655172414,38.0,0.19387755102040816,99.0,0.07746478873239436,57.0,0.22007722007722008,149.0,0.07912904938927244,96.0,0.2891566265060241,194.0,0.09938524590163934,104.0,0.30678466076696165,235.0,0.1024411508282476,129.0,0.3368146214099217,382.0,0.1356534090909091,202.0,0.40973630831643004
z,11.0,0.015804597701149427,5.0,0.025510204081632654,46.0,0.03599374021909233,26.0,0.10038610038610038,90.0,0.04779607010090282,57.0,0.1716867469879518,129.0,0.06608606557377049,85.0,0.25073746312684364,209.0,0.0911072362685266,131.0,0.34203655352480417,345.0,0.12251420454545454,208.0,0.42190669371196754
mieć,77.0,0.11063218390804598,45.0,0.22959183673469388,209.0,0.16353677621283255,94.0,0.36293436293436293,216.0,0.11471056824216676,126.0,0.3795180722891566,217.0,0.11116803278688525,130.0,0.3834808259587021,257.0,0.11203138622493461,149.0,0.38903394255874674,287.0,0.10191761363636363,189.0,0.38336713995943206
dać,179.0,0.257183908045977,96.0,0.4897959183673469,192.0,0.15023474178403756,115.0,0.444015444015444,250.0,0.1327668613913967,147.0,0.4427710843373494,212.0,0.10860655737704918,138.0,0.40707964601769914,247.0,0.1076721883173496,156.0,0.4073107049608355,273.0,0.09694602272727272,186.0,0.3772819472616633
w,14.0,0.020114942528735632,9.0,0.04591836734693878,42.0,0.03286384976525822,30.0,0.11583011583011583,92.0,0.048858204992033985,63.0,0.1897590361445783,114.0,0.0584016393442623,73.0,0.2153392330383481,152.0,0.06625980819529206,105.0,0.2741514360313316,268.0,0.09517045454545454,164.0,0.332657200811359
tata,153.0,0.21982758620689655,89.0,0.45408163265306123,179.0,0.14006259780907668,112.0,0.43243243243243246,284.0,0.15082315454062667,171.0,0.5150602409638554,257.0,0.13165983606557377,141.0,0.415929203539823,233.0,0.1015693112467306,146.0,0.381201044386423,251.0,0.08913352272727272,164.0,0.332657200811359
mamo,26.0,0.03735632183908046,12.0,0.061224489795918366,41.0,0.032081377151799685,29.0,0.11196911196911197,118.0,0.06266595857673925,60.0,0.18072289156626506,137.0,0.0701844262295082,77.0,0.22713864306784662,185.0,0.08064516129032258,102.0,0.26631853785900783,249.0,0.08842329545454546,147.0,0.29817444219066935
babcia,22.0,0.031609195402298854,11.0,0.05612244897959184,69.0,0.0539906103286385,46.0,0.1776061776061776,128.0,0.06797663303239511,86.0,0.25903614457831325,129.0,0.06608606557377049,91.0,0.26843657817109146,166.0,0.07236268526591107,121.0,0.31592689295039167,225.0,0.07990056818181818,160.0,0.32454361054766734
ty,7.0,0.010057471264367816,6.0,0.030612244897959183,31.0,0.024256651017214397,20.0,0.07722007722007722,74.0,0.03929899097185342,51.0,0.1536144578313253,110.0,0.05635245901639344,76.0,0.22418879056047197,162.0,0.07061900610287707,105.0,0.2741514360313316,214.0,0.07599431818181818,139.0,0.281947261663286
a,25.0,0.035919540229885055,11.0,0.05612244897959184,19.0,0.01486697965571205,13.0,0.05019305019305019,70.0,0.03717472118959108,40.0,0.12048192771084337,81.0,0.04149590163934426,49.0,0.14454277286135694,130.0,0.05666957279860506,69.0,0.1801566579634465,213.0,0.07563920454545454,126.0,0.25557809330628806
mój,29.0,0.041666666666666664,17.0,0.08673469387755102,40.0,0.03129890453834116,32.0,0.12355212355212356,58.0,0.030801911842804036,42.0,0.12650602409638553,77.0,0.03944672131147541,49.0,0.14454277286135694,119.0,0.05187445510026155,80.0,0.20887728459530025,195.0,0.06924715909090909,137.0,0.2778904665314402
przedszkole,2.0,0.0028735632183908046,2.0,0.01020408163265306,10.0,0.00782472613458529,6.0,0.023166023166023165,14.0,0.007434944237918215,11.0,0.03313253012048193,28.0,0.014344262295081968,25.0,0.07374631268436578,53.0,0.023103748910200523,39.0,0.10182767624020887,172.0,0.061079545454545456,119.0,0.2413793103448276
bo,1.0,0.0014367816091954023,1.0,0.00510204081632653,16.0,0.012519561815336464,8.0,0.03088803088803089,29.0,0.015400955921402018,20.0,0.060240963855421686,52.0,0.02663934426229508,30.0,0.08849557522123894,97.0,0.042284219703574544,52.0,0.13577023498694518,152.0,0.05397727272727273,100.0,0.2028397565922921
jechać,9.0,0.01293103448275862,8.0,0.04081632653061224,37.0,0.028951486697965573,25.0,0.09652509652509653,102.0,0.054168879447689854,69.0,0.20783132530120482,113.0,0.057889344262295084,80.0,0.2359882005899705,111.0,0.04838709677419355,83.0,0.21671018276762402,150.0,0.053267045454545456,106.0,0.2150101419878296
już,13.0,0.01867816091954023,11.0,0.05612244897959184,8.0,0.006259780907668232,8.0,0.03088803088803089,34.0,0.018056293149229952,26.0,0.0783132530120482,48.0,0.02459016393442623,38.0,0.11209439528023599,67.0,0.02920662598081953,51.0,0.13315926892950392,148.0,0.052556818181818184,101.0,0.20486815415821502
móc,,,,,7.0,0.005477308294209703,5.0,0.019305019305019305,38.0,0.0201805629314923,29.0,0.08734939759036145,65.0,0.033299180327868855,47.0,0.13864306784660768,80.0,0.03487358326068003,54.0,0.1409921671018277,147.0,0.052201704545454544,107.0,0.21703853955375255
pójść,5.0,0.007183908045977011,3.0,0.015306122448979591,11.0,0.008607198748043818,9.0,0.03474903474903475,45.0,0.02389803505045141,34.0,0.10240963855421686,88.0,0.045081967213114756,57.0,0.168141592920354,103.0,0.044899738448125545,70.0,0.18276762402088773,141.0,0.05007102272727273,105.0,0.2129817444219067
