,slowo,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
2660,mu,18,0.003005510101853398,16,0.018890200708382526
2208,lat,18,0.003005510101853398,11,0.012987012987012988
5012,urodziny,18,0.003005510101853398,16,0.018890200708382526
2472,mała,18,0.003005510101853398,16,0.018890200708382526
5077,wczoraj,18,0.003005510101853398,16,0.018890200708382526
2337,maja,18,0.003005510101853398,11,0.012987012987012988
5937,światło,18,0.003005510101853398,16,0.018890200708382526
2627,mojego,18,0.003005510101853398,15,0.01770956316410862
789,dam,18,0.003005510101853398,15,0.01770956316410862
2755,nam,18,0.003005510101853398,15,0.01770956316410862
828,deszcz,18,0.003005510101853398,16,0.018890200708382526
3153,oć,17,0.002838537318417098,8,0.009445100354191263
4182,rączki,17,0.002838537318417098,16,0.018890200708382526
4973,układać,17,0.002838537318417098,15,0.01770956316410862
2867,niegrzeczny,17,0.002838537318417098,16,0.018890200708382526
4738,telewizor,17,0.002838537318417098,17,0.020070838252656435
3168,pada,17,0.002838537318417098,15,0.01770956316410862
5768,zupkę,17,0.002838537318417098,15,0.01770956316410862
2654,możemy,17,0.002838537318417098,17,0.020070838252656435
1055,dziękuję,17,0.002838537318417098,13,0.015348288075560802
3194,pan,17,0.002838537318417098,16,0.018890200708382526
2128,kupimy,17,0.002838537318417098,15,0.01770956316410862
2585,miś,17,0.002838537318417098,15,0.01770956316410862
3652,popatrz,16,0.0026715645349807983,14,0.01652892561983471
578,chory,16,0.0026715645349807983,15,0.01770956316410862
3078,ola,16,0.0026715645349807983,11,0.012987012987012988
2688,myju,16,0.0026715645349807983,8,0.009445100354191263
2562,misia,16,0.0026715645349807983,13,0.015348288075560802
1295,grzeczny,16,0.0026715645349807983,14,0.01652892561983471
640,ciemno,16,0.0026715645349807983,16,0.018890200708382526
2295,lubi,16,0.0026715645349807983,15,0.01770956316410862
600,chyba,16,0.0026715645349807983,15,0.01770956316410862
788,daleko,16,0.0026715645349807983,14,0.01652892561983471
987,dziadzia,16,0.0026715645349807983,15,0.01770956316410862
4492,sto,16,0.0026715645349807983,9,0.010625737898465172
2374,malować,16,0.0026715645349807983,12,0.014167650531286895
4212,samochodem,16,0.0026715645349807983,15,0.01770956316410862
881,domku,16,0.0026715645349807983,15,0.01770956316410862
3550,pojadę,16,0.0026715645349807983,14,0.01652892561983471
5191,wolno,16,0.0026715645349807983,15,0.01770956316410862
3731,powiedziała,15,0.002504591751544498,12,0.014167650531286895
467,być,15,0.002504591751544498,14,0.01652892561983471
2839,nic,15,0.002504591751544498,15,0.01770956316410862
1004,dzidzia,15,0.002504591751544498,9,0.010625737898465172
2296,lubie,15,0.002504591751544498,12,0.014167650531286895
486,będziesz,15,0.002504591751544498,13,0.015348288075560802
517,chcem,15,0.002504591751544498,12,0.014167650531286895
73,ania,15,0.002504591751544498,9,0.010625737898465172
875,domek,15,0.002504591751544498,13,0.015348288075560802
3787,prezent,15,0.002504591751544498,14,0.01652892561983471
2906,niunia,15,0.002504591751544498,8,0.009445100354191263
187,bam,15,0.002504591751544498,13,0.015348288075560802
3964,puzzle,15,0.002504591751544498,13,0.015348288075560802
4007,płacze,15,0.002504591751544498,15,0.01770956316410862
3042,oglądam,15,0.002504591751544498,13,0.015348288075560802
1643,ją,14,0.0023376189681081983,14,0.01652892561983471
575,chora,14,0.0023376189681081983,13,0.015348288075560802
4076,robię,14,0.0023376189681081983,13,0.015348288075560802
982,dziadkiem,14,0.0023376189681081983,11,0.012987012987012988
4685,takie,14,0.0023376189681081983,13,0.015348288075560802
562,chodźmy,14,0.0023376189681081983,12,0.014167650531286895
3217,parku,14,0.0023376189681081983,13,0.015348288075560802
206,basen,14,0.0023376189681081983,14,0.01652892561983471
5909,śniadanko,14,0.0023376189681081983,14,0.01652892561983471
