,lemat,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
2180,pani,77,0.019548108657019548,62,0.07319952774498228
3122,tak,76,0.019294237116019294,54,0.06375442739079103
2056,oglądać,74,0.018786494034018785,64,0.0755608028335301
1706,mały,73,0.018532622493018534,58,0.06847697756788666
1785,mleko,73,0.018532622493018534,63,0.0743801652892562
72,ale,72,0.01827875095201828,54,0.06375442739079103
615,dom,71,0.018024879411018026,59,0.06965761511216056
3162,teraz,71,0.018024879411018026,59,0.06965761511216056
2822,samochód,71,0.018024879411018026,56,0.06611570247933884
1137,jutro,71,0.018024879411018026,61,0.07201889020070838
3170,też,70,0.01777100787001777,52,0.06139315230224321
3251,tutaj,70,0.01777100787001777,54,0.06375442739079103
502,coś,69,0.017517136329017517,55,0.06493506493506493
2865,sik,69,0.017517136329017517,61,0.07201889020070838
2816,sam,67,0.01700939324701701,57,0.06729634002361275
2559,prosić,66,0.016755521706016754,53,0.06257378984651712
3769,zobaczyć,66,0.016755521706016754,49,0.05785123966942149
3589,zabawa,65,0.0165016501650165,60,0.07083825265643448
421,choć,65,0.0165016501650165,51,0.0602125147579693
3069,szkoła,64,0.01624777862401625,53,0.06257378984651712
741,dziś,62,0.01574003554201574,46,0.05430932703659976
1375,kotka,62,0.01574003554201574,46,0.05430932703659976
2332,plac,62,0.01574003554201574,57,0.06729634002361275
2600,przyjechać,60,0.015232292460015232,51,0.0602125147579693
1828,my,60,0.015232292460015232,49,0.05785123966942149
676,dwór,59,0.014978420919014978,52,0.06139315230224321
139,baba,58,0.014724549378014725,46,0.05430932703659976
3739,zjeść,57,0.014470677837014471,51,0.0602125147579693
1281,klocek,55,0.013962934755013963,50,0.0590318772136954
1057,jaki,55,0.013962934755013963,50,0.0590318772136954
597,dla,52,0.013201320132013201,39,0.04604486422668241
2523,powiedzieć,51,0.012947448591012947,40,0.047225501770956316
2010,obiad,50,0.012693577050012693,46,0.05430932703659976
3590,zabawka,50,0.012693577050012693,44,0.05194805194805195
710,dziecko,50,0.012693577050012693,41,0.048406139315230225
2858,siebie,48,0.012185833968012186,38,0.0448642266824085
1778,miś,48,0.012185833968012186,39,0.04604486422668241
123,auto,48,0.012185833968012186,42,0.049586776859504134
1659,mamusiuć,46,0.011678090886011678,40,0.047225501770956316
3587,za,46,0.011678090886011678,42,0.049586776859504134
598,dlaczego,46,0.011678090886011678,39,0.04604486422668241
1560,lizak,45,0.011424219345011425,39,0.04604486422668241
3278,u,45,0.011424219345011425,41,0.048406139315230225
667,dużo,44,0.01117034780401117,34,0.04014167650531287
3261,tylko,44,0.01117034780401117,40,0.047225501770956316
3919,że,43,0.010916476263010916,38,0.0448642266824085
2381,poczytać,42,0.010662604722010662,38,0.0448642266824085
2178,pan,40,0.010154861640010155,32,0.03778040141676505
2695,płakać,40,0.010154861640010155,38,0.0448642266824085
2883,siusie,40,0.010154861640010155,37,0.043683589138134596
2467,pomóc,39,0.009900990099009901,35,0.04132231404958678
1491,kąpać,39,0.009900990099009901,34,0.04014167650531287
3401,wiedzieć,38,0.009647118558009647,32,0.03778040141676505
1104,jeździć,38,0.009647118558009647,35,0.04132231404958678
3081,szybko,38,0.009647118558009647,33,0.03896103896103896
